Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,City of Greenville - Richardson Garage,66 Richardson St,,Greenville,SC,29601,,864-467-4900,E,,Public,24 hours daily,,,,,,2,1,,Non-Networked,,200-9,34.852437,-82.399901,2020-07-13,38309,2021-03-11 23:22:17 UTC,LG,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,
ELEC,City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,1st floor of parking garage,Santa Monica,CA,90401,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,12,2,,Non-Networked,,GPS,34.010528,-118.4898,2020-07-13,38521,2021-06-22 17:36:49 UTC,LG,,,2010-11-15,,,,,CHADEMO J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,SOLAR,
ELEC,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Located in the indoor valet and covered self-parking,Commerce City,CO,80022,,303-574-9800,E,,Public,24 hours daily; pay lot,,,,,18,9,1,,Non-Networked,,GPS,39.843886,-104.771138,2021-12-09,38522,2021-12-09 15:02:43 UTC,P,,,2010-10-19,,,,,CHADEMO J1772 NEMA515,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,
ELEC,Clay Cooley Nissan,4914 S IH-35,,Austin,TX,78745,,512-444-1400,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,30.206145,-97.759109,2020-06-09,39114,2021-03-11 23:22:17 UTC,P,,,2011-01-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Grubbs Nissan,310 Airport Fwy,,Bedford,TX,76022,,817-268-1000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.839339,-97.160994,2020-06-09,39714,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Nissan of Fort Worth,3451 W Loop 820 S,,Fort Worth,TX,76116,,817-560-9000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.721585,-97.478539,2020-06-09,39723,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Texas Nissan of Grapevine,1401 W State Highway 114,,Grapevine,TX,76051,,817-601-3600,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.928183,-97.09448,2020-06-09,39724,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Baker Nissan North,19630 Northwest Fwy,,Houston,TX,77065,,281-890-5656,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-9,29.913418,-95.611942,2022-02-10,39726,2022-02-10 15:02:34 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Central Houston Nissan,2901 S Loop W,,Houston,TX,77054,,713-661-9955,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,29.676558,-95.422537,2020-06-09,39727,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,McDavid Nissan,11911 Gulf Fwy,,Houston,TX,77034,,713-941-0600,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,29.625565,-95.22531,2020-06-09,39728,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Mossy Nissan,12150 Katy Fwy,,Houston,TX,77079,,281-496-2200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,29.785494,-95.60022,2020-06-09,39729,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Tom Peacock Nissan,15300 North Fwy,,Houston,TX,77090,,855-969-1871,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,29.990205,-95.423096,2020-06-09,39730,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Clay Cooley Nissan,1500 E Airport Fwy,,Irving,TX,75062,,972-438-4300,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-9,32.849437,-96.914294,2021-10-12,39732,2021-10-12 12:58:36 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,AutoNation Nissan - Lewisville,1601 S Stemmons Fwy,,Lewisville,TX,75067,,972-420-9500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,33.022937,-96.988337,2020-06-09,39738,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Nissan of McKinney,3800 S Central Expy,,McKinney,TX,75069,,214-544-4900,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,33.161606,-96.644662,2020-06-09,39741,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Trophy Nissan,5031 N Galloway Ave,,Mesquite,TX,75150,,972-613-2200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.829838,-96.629967,2020-06-09,39742,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
